SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4024.20,4100.00,3994.25,4068.25,4082.20,4010.00,1000,4808,19521916.00,
500003,AEGIS LOGIS ,A ,Q,300.00,300.00,292.65,295.90,295.20,299.50,948,15768,4654910.00,
500008,ARE&M       ,A ,Q,621.65,644.00,617.00,631.60,631.60,621.35,4082,55821,35252154.00,
500009,A.SARABHAI  ,XT,Q,39.80,39.80,39.02,39.02,39.02,39.81,80,117616,4625305.00,
500012,ANDHRA PETRO,X ,Q,78.95,85.00,78.95,81.72,82.50,78.74,1060,309789,25517312.00,
500013,ANSAL INFRAS,Z ,Q,12.28,12.28,12.28,12.28,12.28,12.92,11,3706,45509.00,
500014,UTIQUE      ,X ,Q,6.10,6.35,5.91,5.99,5.99,6.11,225,191675,1165272.00,
500016,ARUNAHTEL   ,X ,Q,16.50,16.75,15.01,15.26,15.25,15.89,87,10580,162645.00,
500020,BOM DYEING  ,A ,Q,150.25,156.25,147.85,154.85,154.85,149.65,2600,275168,41905737.00,
500023,ASIANHOTNR  ,B ,Q,155.00,159.10,155.00,159.10,159.10,151.55,56,7597,1207623.00,
500027,ATUL LTD.   ,A ,Q,6242.80,6272.55,6215.00,6238.05,6236.80,6242.65,308,828,5169722.00,
500028,ATV PROJECTS,XT,Q,12.94,13.00,12.94,13.00,13.00,13.20,30,13782,178597.00,
500031,BAJAJ ELECT.,A ,Q,1037.05,1055.70,1031.50,1036.00,1037.45,1043.80,242,1108,1153250.00,
500032,BAJAJHIND   ,A ,Q,25.99,27.20,25.21,26.41,26.41,25.78,7825,5040792,133016329.00,
500033,FORCE MOTR  ,B ,Q,3525.00,3554.40,3353.55,3389.35,3389.35,3530.05,2502,25418,87173029.00,
500034,BAJFINANCE  ,A ,Q,7507.00,7525.85,7355.00,7502.00,7502.00,7506.20,3640,19964,148828719.00,
500038,BALRAM.CHINI,A ,Q,414.95,416.80,408.00,411.20,411.00,413.40,946,32031,13194006.00,
500039,BANCO PROD. ,B ,Q,448.25,454.60,441.65,446.15,450.65,455.50,740,5911,2659089.00,
500040,CENTURY TEXT,A ,Q,1075.75,1121.45,1075.75,1092.25,1092.25,1097.70,692,10104,11101879.00,
500041,BANNARI AMAN,B ,Q,2585.50,2622.60,2577.75,2592.15,2578.00,2592.60,47,147,382137.00,
500042,BASF INDIA  ,A ,Q,2506.95,2529.80,2489.00,2507.75,2507.10,2504.95,80,329,827767.00,
500043,BATA INDIA  ,A ,Q,1551.00,1574.85,1537.85,1571.00,1571.00,1553.10,1030,5251,8180625.00,
500048,BEML LTD    ,A ,Q,2020.00,2025.80,1987.35,2016.90,2013.50,2010.00,457,3823,7684535.00,
500049,BHARAT ELECT,A ,Q,134.35,134.35,130.90,131.95,131.95,132.25,6950,512319,67621538.00,
500052,BHANSALI ENG,B ,Q,89.29,89.77,86.65,86.98,86.98,88.91,1430,63830,5602494.00,
500058,BIHAR SPONGE,XT,Q,10.47,10.47,9.76,9.90,10.09,10.12,86,13765,139038.00,
500059,BINANI IND. ,T ,Q,15.10,15.10,13.73,14.00,14.00,14.41,23,1797,25443.00,
500060,BIRLACABLE  ,B ,Q,315.50,317.60,301.60,305.10,305.10,312.40,1109,15874,4855343.00,
500067,BLUE STAR   ,A ,Q,873.20,878.00,864.35,873.60,875.95,863.20,777,4746,4126399.00,
500068,DISA INDIA  ,B ,Q,12999.35,13049.95,12710.00,12872.60,12710.00,12999.35,29,101,1311707.00,
500069,QUESTCAP    ,X ,Q,275.20,283.85,275.00,280.30,281.95,273.00,10,1115,307288.00,
500074,BPL LTD.    ,T ,Q,85.98,86.90,83.00,85.38,85.38,83.35,170,17531,1492812.00,
500078,OAL         ,B ,Q,345.55,349.95,341.80,348.30,348.30,340.65,65,455,157290.00,
